Character,Line
Allison,Why are you showing me all this?
Allison,But it was really nice to build something and get paid for it.
Allison,I don't know what I'm doing this summer.
Allison,"Leslie, I told you."
Allison,"Uh, ermâ¦"
Allison,We thought you were gonna teach us how to solve problems.
Allison,"Thanks, Leslie, for this, and for making prom happen in the first place."
Allison,"Yeah, sure."
Allison,"Ms. Knope, it'd be my honor."
Allison,I can't believe he gave you an Aplus.
Allison,That would be awesome.
Allison,"Um, Leslie was just telling me about your summer internship, and I was thinking about taking it."
Allison,The Security Council has decided to expel Peru and Denmark from the United Nations.
Allison,Attention!
Allison,"Hi, Mr. Swanson."
Allison,"Oh, let me introduce you to my boyfriend."
Allison,I'm totally interested.
Allison,So just pull the rope?
Allison,You've ruined my favorite club.
Alyssa,"Two days later, we had set up the entire program, and she sent me a throw pillow with my face stitched onto it."
Alyssa,"Oh, I'm very familiar with Leslie's enthusiasm."
Andrew Luck,You guys are weird.
Andrew Luck,See ya!
Andrew Luck,How are you?
Andrew Luck,Right.
Andrew Luck,"Oh, yeah."
Andrew Luck,"Yeah, let's do it."
Andrew Luck,I'll try.
Andrew Luck,"We're gonna have some fun tonight, Pawnee!"
Andrew Luck,"Okay, guy, settle down."
Andy Dwyer,What the hell?
Andy Dwyer,"Wait, did I interrupt?"
Andy Dwyer,What are you guys talking about?
Andy Dwyer,"I think it could have been, honest to God."
Andy Dwyer,And you imagine he's wearing a cape while he's plowing her?
Andy Dwyer,"No, just, Captain Mustache?"
Andy Dwyer,"I mean, if all you can think of is Ron, you know... Maybe put him in some tights and a cape, and then it would be funny."
Andy Dwyer,"Hey, check this out."
Andy Dwyer,"Uh, spell your last name for me."
Andy Dwyer,Real quick.
Andy Dwyer,"I am on hold with the State Parks Department I am on hold, so suck on my butt."
Andy Dwyer,Let's go.
Andy Dwyer,It's Mailman Barry.
Andy Dwyer,"Morning, Barry."
Andy Dwyer,I have something for you.
Andy Dwyer,Leslie.
Andy Dwyer,Ninjas attack!
Andy Dwyer,Hold on.
Andy Dwyer,Put the files in the drawer.
Andy Dwyer,That's broken.
Andy Dwyer,Believe in me!
Andy Dwyer,"Okay, guys."
Andy Dwyer,Hit me.
Andy Dwyer,Yes.
Andy Dwyer,Did you see that?
Andy Dwyer,"Oh, it's a plastic bag."
Andy Dwyer,I believe we're covered.
Andy Dwyer,Is that a goose that just flew by the window?
Andy Dwyer,Wait a minute.
Andy Dwyer,We got it wrong.
Andy Dwyer,"Wait, why?"
Andy Dwyer,Kraft?
Andy Dwyer,The universe?
Andy Dwyer,"Sausage, onion, and peppers."
Andy Dwyer,Scientifically proven to be the best toppings.
Andy Dwyer,Yeah.
Andy Dwyer,What's up?
Andy Dwyer,All right.
Andy Dwyer,Yes.
Andy Dwyer,"Ah, right on."
Andy Dwyer,Say it again.
Andy Dwyer,"It's ""alumilum."""
Andy Dwyer,Tom's ex-wife.
Andy Dwyer,Yeah.
Andy Dwyer,Alumilum!
Andy Dwyer,Me neither.
Andy Dwyer,What?
Andy Dwyer,"I work there part time, and I have my own TV show."
Andy Dwyer,That's awesome.
Andy Dwyer,"Well, do you do you have it here?"
Andy Dwyer,"If I may, ours is great."
Andy Dwyer,"On one condition: I want you to stay here in London with me for no more than three months, to help me get it up and running and tell me what to do."
Andy Dwyer,Say it again.
Andy Dwyer,You set this whole thing up so I would be unmad at you.
Andy Dwyer,Got it!
Andy Dwyer,Yeah.
Andy Dwyer,"Yeah, I guess."
Andy Dwyer,"I mean, I can't do it, obviously."
Andy Dwyer,That's cool.
Andy Dwyer,I don't even know what I would be doing.
Andy Dwyer,"I mean, besides, this is England."
Andy Dwyer,Everything is so weird.
Andy Dwyer,It's all different.
Andy Dwyer,Do they?
Andy Dwyer,I'll be damned.
Andy Dwyer,We have the insurance thing.
Andy Dwyer,"Yeah, like that."
Andy Dwyer,That's what I'm exactly what I'm talking about.
Andy Dwyer,Or like the Piccadilly Circus we went to?
Andy Dwyer,Not even a circus.
Andy Dwyer,"There's no elephants, there was no cotton candy, there's no clowns."
Andy Dwyer,One bearded lady.
Andy Dwyer,I can do this.
Andy Dwyer,She got all rude when I marveled at her.
Andy Dwyer,"Oh, he's awesome."
Andy Dwyer,He's everything you would want in a boss.
Andy Dwyer,Don't worry.
Andy Dwyer,No.
Andy Dwyer,This case just remained interesting.
Andy Dwyer,"This is a picture oh, this is us making out I don't know where that is, but you can tell that she's sucking on my lip."
Andy Dwyer,At the Neutral Milk Hotel.
Andy Dwyer,Here's a picture of us making out in Ben's office.
Andy Dwyer,Here's a picture of me and April making out in her apartment.
Andy Dwyer,"They didn't answer, obviously."
Andy Dwyer,Where is everyone?
Andy Dwyer,Hunting trip?
Andy Dwyer,Did Mark go?
Andy Dwyer,"That's cool, at least he's not with Ann."
Andy Dwyer,God!
Andy Dwyer,How come he gets to do all the things I wanna do?
Andy Dwyer,"Go hunting, Ann."
Andy Dwyer,That would be really awesome.
Andy Dwyer,"But I don't think that will happen, probably."
Andy Dwyer,I kinda was.
Andy Dwyer,"Here you go, boss."
Andy Dwyer,Why are we laughing?
Andy Dwyer,Forget it.
Andy Dwyer,Ann and Mark!
Andy Dwyer,Three more kicks apiece.
Andy Dwyer,Whatever.
Andy Dwyer,You know what?
Andy Dwyer,"And art is supposed to be happy and fun, and everyone knows that."
Andy Dwyer,"'Cause their music is sad, and depressing, and weird."
Andy Dwyer,'Cause it's starting to not feel that way.
Andy Dwyer,Do you even think Mouse Rat is the greatest band in the world?
Andy Dwyer,You like some other dude's band more than me.
Andy Dwyer,"No, you get over it."
Andy Dwyer,It's Ann and Mark!
Andy Dwyer,"Babe, I'm out of milk."
Andy Dwyer,Oh.
Andy Dwyer,Just what do I do with this?
Andy Dwyer,"But, yeah."
Andy Dwyer,"Oh, that sucks."
Andy Dwyer,Out of the way!
Andy Dwyer,Dine and dash.
Andy Dwyer,You sure?
Andy Dwyer,Okay.
Andy Dwyer,He was a really good bassist.
Andy Dwyer,I was actually starting to like him.
Andy Dwyer,Good time.
Andy Dwyer,"Oh, because, you know what Let's go!"
Andy Dwyer,I can do one.
Andy Dwyer,Let's see here.
Andy Dwyer,"It's not very good, but I think I could pull it off."
Andy Dwyer,Hey.
Andy Dwyer,I just feel like he's gonna get upset when he finds out that we're American.
Andy Dwyer,"Ugh, great."
Andy Dwyer,"All right, well, I guess we'll take the meeting anyway."
Andy Dwyer,"After all, we did come all the way down under."
Andy Dwyer,"Oh, thank God."
Andy Dwyer,I knew that other name must have been a stupid joke.
Andy Dwyer,That is really hot.
Andy Dwyer,How come you don't dress up like that for me?
Andy Dwyer,Everything is going great.
Andy Dwyer,That's what I was trying to say.
Andy Dwyer,"Real quick, should I do a British accent?"
Andy Dwyer,Is Eduardo coming?
Andy Dwyer,She said she thought it was an animal--
Andy Dwyer,"Honestly, you'd look hot naked."
Andy Dwyer,'Cause she is super hot.
Andy Dwyer,That is hot.
Andy Dwyer,"Well, she has, every single time."
Andy Dwyer,"Babe, you look super hot."
Andy Dwyer,Yes.
Andy Dwyer,"Oh, hey, Ron."
Andy Dwyer,What's up?
Andy Dwyer,"Other day, other day... Yeah."
Andy Dwyer,"Oh, yesterday?"
Andy Dwyer,Nailed it.
Andy Dwyer,Nice and band totally worked.
Andy Dwyer,"Eh, that's a good thing, babe."
Andy Dwyer,They want to talk to you because you're important to them.
Andy Dwyer,"I'm okay-- You know, I'd be okay if we... I'd be okay if we never mentioned it again."
Andy Dwyer,"Yeah, I lost 50 pounds in one month."
Andy Dwyer,"The moan, Ron."
Andy Dwyer,"I know, right?"
Andy Dwyer,Slow cooker!
Andy Dwyer,Probably too much.
Andy Dwyer,The weird moan you made.
Andy Dwyer,That was super weird.
Andy Dwyer,Yeah.
Andy Dwyer,Do you not remember that? I talked about it with the lady who went after you for a half an hour.
Andy Dwyer,Look what she gave us.
Andy Dwyer,April's kicking ass at her National Parks job.
Andy Dwyer,"I know you do, sweetheart."
Andy Dwyer,"Oh, hey, uh, by the way, I think that Chris is lonely, so I told him he could borrow Champion whenever."
Andy Dwyer,What else does your family own?
Andy Dwyer,That's exactly how they'll be expecting me to try to break in.
Andy Dwyer,Yeah.
Andy Dwyer,We got to find a way to break in there.
Andy Dwyer,"Oh, you know what I want?"
Andy Dwyer,Ice cream.
Andy Dwyer,"Do you guys have that here, ice cream?"
Andy Dwyer,"Oh, it's so good."
Andy Dwyer,You have to get it.
Andy Dwyer,"It's, like, scoops, and it comes on a cone."
Andy Dwyer,"I couldn't tell, 'cause you had that mask thing over your eyes."
Andy Dwyer,"So, like, you your family owns all this stuff?"
Andy Dwyer,"You weren't trying to sleep, were you?"
Andy Dwyer,"Whoa, Alcatraz."
Andy Dwyer,Do you have that here?
Andy Dwyer,Goodbye.
Andy Dwyer,No.
Andy Dwyer,Wait.
Andy Dwyer,You have it?
Andy Dwyer,That'd be awesome if we were.
Andy Dwyer,Can we get some?
Andy Dwyer,Could we do could we have some?
Andy Dwyer,"Well, guess what, ain't gonna work."
Andy Dwyer,Yeah.
Andy Dwyer,Can't believe Michael Bay spent a billion dollars of his own money to build that for The Rock.
Andy Dwyer,Here you go.
Andy Dwyer,I think I broke mine!
Andy Dwyer,Ohh!
Andy Dwyer,"And I'm like, ""What?"""
Andy Dwyer,Aww.
Andy Dwyer,Piggyback!
Andy Dwyer,Piggyback!
Andy Dwyer,Move!
Andy Dwyer,Piggyback!
Andy Dwyer,Bam!
Andy Dwyer,Piggyback!
Andy Dwyer,Bam!
Andy Dwyer,Mark!
Andy Dwyer,Brendanawicz!
Andy Dwyer,"Dude, awesome."
Andy Dwyer,Whoa!
Andy Dwyer,I'm sorry.
Andy Dwyer,Are those remote control helicopters?
Andy Dwyer,What?
Andy Dwyer,Yeah.
Andy Dwyer,"Oh, would I?"
Andy Dwyer,I call blue one!
Andy Dwyer,"What are you talking about, dude?"
Andy Dwyer,I called it.
Andy Dwyer,That's the rule.
Andy Dwyer,What?
Andy Dwyer,Aah!
Andy Dwyer,Are those I'm sorry.
Andy Dwyer,"I mean, remote control helicopters, talks funny."
Andy Dwyer,Total package.
Andy Dwyer,Who is she dating?
Andy Dwyer,"If the Bread and Breakfast, you sleep there and you get breakfast."
Andy Dwyer,What is that?
Andy Dwyer,I don't remember saying anything about anyone being pregnant.
Andy Dwyer,Neutral Milk Hotel.
Andy Dwyer,Interesting.
Andy Dwyer,Official police wrist lock.
Andy Dwyer,Oh.
Andy Dwyer,Oh!
Andy Dwyer,Who is Jeff Mangum?
Andy Dwyer,Yay!
Andy Dwyer,Me!
Andy Dwyer,"Um, this is almost too easy."
Andy Dwyer,You're kickass Leslie.
Andy Dwyer,You wanna do Toots?
Andy Dwyer,What song should we do?
Andy Dwyer,"Honey, they wantthe kids want an encore, I'm sorry."
Andy Dwyer,Oh.
Andy Dwyer,They need an encore.
Andy Dwyer,Did you hear that?
Andy Dwyer,What?
Andy Dwyer,Tom has something wrong with his butt.
Andy Dwyer,You can't hit me.
Andy Dwyer,"Long distance relationships are never easy, but you never, ever give up on stuff."
Andy Dwyer,"Oh, I think you're wrong."
Andy Dwyer,"Hey, uh, Benjamin, how fancy is this party tonight?"
Andy Dwyer,"I mean, is this, like, a shorts or a pants kind of gala?"
Andy Dwyer,I don't remember.
Andy Dwyer,I'm incredible.
Andy Dwyer,I know.
Andy Dwyer,Probably making out on top of a deer carcass.
Andy Dwyer,Super romantic.
Andy Dwyer,"Yes, I did it! I kept a secret."
Andy Dwyer,"I don't know, I think that would... That's pretty gross."
Andy Dwyer,Seems kind of weird.
Andy Dwyer,"When you put it that way, it doesn't sound that weird at all."
Andy Dwyer,They're here-- don't try to get it out of me anymore.
Andy Dwyer,Really? All right.
Andy Dwyer,I'm gonna tell you 'cause it's super juicy-- you ready?
Andy Dwyer,Leslie is a spy.
Andy Dwyer,You're more important than anything.
Andy Dwyer,"It's just that it's a really big secret, and for once, I wanted to keep my word."
Andy Dwyer,Awesome.
Andy Dwyer,I'm in.
Andy Dwyer,I'm gonna go sterilize my neck.
Andy Dwyer,"Damn, really?"
Andy Dwyer,Yeah.
Andy Dwyer,"Point is, you're better than Hot Rebecca."
Andy Dwyer,It was really expensive.
Andy Dwyer,Why wouldn't you pick me?
Andy Dwyer,"Hi, Ann."
Andy Dwyer,Great.
Andy Dwyer,But screw it.
Andy Dwyer,"Oh, my God."
Andy Dwyer,Do you really want to know?
Andy Dwyer,"Okay, fine."
Andy Dwyer,Likewise.
Andy Dwyer,"How many people am I talking to, Donna?"
Andy Dwyer,Try to hit me.
Andy Dwyer,"Well, I guess I'll see you guys around."
Andy Dwyer,"Or here, no, try, it's this hand."
Andy Dwyer,Oh!
Andy Dwyer,"Uh, also, Mark, again, we don't have those extra small condoms you ordered."
Andy Dwyer,"I called the factory, it's gonna take a special order."
Andy Dwyer,"Not just because of the size, but because of the weird shape as well."
Andy Dwyer,I've got the free medicine card.
Andy Dwyer,Something they've never dealt with before.
Andy Dwyer,Are you in this office purely for business reasons?
Andy Dwyer,We'll talk.
Andy Dwyer,I made that up.
Andy Dwyer,"Every day, I subtly chip away at their relationship."
Andy Dwyer,"Weakening it, little by little."
Andy Dwyer,Are you guys-- Are you guys hanging out together?
Andy Dwyer,Thank you.
Andy Dwyer,Andy.
Andy Dwyer,Hey.
Andy Dwyer,God.
Andy Dwyer,Sorry that took forever.
Andy Dwyer,Here you go.
Andy Dwyer,That's what makes you
Andy Dwyer,"Mark never asked me for any small, weirdly shaped condoms."
Andy Dwyer,"I'm not saying we're the best band in the universe, but we are, I would say, honestly, the best band in the world."
Andy Dwyer,What a coincidence!
Andy Dwyer,The shoeshine stand still doesn't have that syphilis medication you were asking about.
Andy Dwyer,Have you guys seen Ultimate Battle Smoothie?
Andy Dwyer,They're moving again to Chinatown in France.
Andy Dwyer,I love Slurp HD.
Andy Dwyer,Chris and Ann are moving.
Andy Dwyer,I'm dying.
Andy Dwyer,That Ralph Macchio guy is a total douche.
Andy Dwyer,They're both dying.
Andy Dwyer,I guess I'm super bad at picking up signals.
Andy Dwyer,Leslie is dying.
Andy Dwyer,Ben is dyingâ¦ he has the same disease Larry has.
Andy Dwyer,I thought she liked me.
Andy Dwyer,"Ann, hey!"
Andy Dwyer,Ben's dog is dying.
Andy Dwyer,Fine.
Andy Dwyer,You can have my Remy Martin for your birthday.
Andy Dwyer,One or 1 1/9?
Andy Dwyer,Probably good.
Andy Dwyer,Wow.
Andy Dwyer,It's the dusty one.
Andy Dwyer,"Technically, we're all dying, unless you choose the right grail."
Andy Dwyer,We ended up with more animals than we started with.
Andy Dwyer,I can hear you.
Andy Dwyer,I can hear you.
Andy Dwyer,"Hey, Mark."
Andy Dwyer,I'll tell you the secret.
Andy Dwyer,Just trust me.
Andy Dwyer,"Everything's going to be fine with you and Ben, because if I know Ben, he, too, is an amalgam."
Andy Dwyer,Could we just real quick stop at the nearest place that has free pants?
Andy Dwyer,High!
Andy Dwyer,Sugar high!
Andy Dwyer,Sugar hit high!
Andy Dwyer,Sugar high!
Andy Dwyer,Instant sugar high!
Andy Dwyer,Not in this one.
Andy Dwyer,"Oh, my God!"
Andy Dwyer,Mmm.
Andy Dwyer,"All I've had is fruits and vegetables, for weeks now."
Andy Dwyer,Great.
Andy Dwyer,"Oh, all right."
Andy Dwyer,"Making out are you okay, boss?"
Andy Dwyer,"Boss, I need your Herbie Hancock on this."
Andy Dwyer,Is that candy?
Andy Dwyer,How's she doing?
Andy Dwyer,"Oh, I miss her so much, it's ridiculous."
Andy Dwyer,She's doing good?
Andy Dwyer,So how's Ann?
Andy Dwyer,"Man, oh, man."
Andy Dwyer,It is really great to have somebody to talk to.
Andy Dwyer,"Back to you, Professor."
Andy Dwyer,"I thought I thought maybe it was when I was I, uh I'll get 'em next time."
Andy Dwyer,That will be progress.
Andy Dwyer,Oh!
Andy Dwyer,Sugar slam!
Andy Dwyer,Mmmhmm.
Andy Dwyer,I'm in.
Andy Dwyer,I mean
Andy Dwyer,Is she?
Andy Dwyer,You just said Ann might be dating somebody else.
Andy Dwyer,He said he wanted me to head up the company.
Andy Dwyer,Bert Macklin is on the case.
Andy Dwyer,I have no idea how to run a nonprofit.
Andy Dwyer,Traveling.
Andy Dwyer,Is she dating somebody else?
Andy Dwyer,Is she?
Andy Dwyer,Seems like the only logical solution.
Andy Dwyer,"That way, if she wants me back, I can be at her house, like, in two seconds, before she changes her mind."
Andy Dwyer,We don't rest until we get that.
Andy Dwyer,I just like being nearby.
Andy Dwyer,No.
Andy Dwyer,I did it!
Andy Dwyer,No.
Andy Dwyer,It was pretty interesting to begin with.
Andy Dwyer,"Well, not just."
Andy Dwyer,Marco!
Andy Dwyer,Marco!
Andy Dwyer,Marco?
Andy Dwyer,Marco!
Andy Dwyer,We're good.
Andy Dwyer,"Oh, I am always careful."
Andy Dwyer,I got it out.
Andy Dwyer,"Yeah, this isn't right."
Andy Dwyer,None of this looks familiar.
Andy Dwyer,Eddie?
Andy Dwyer,Let's do it.
Andy Dwyer,All right.
Andy Dwyer,He's like 20 minutes late.
Andy Dwyer,I was supposed to have a rock fight with this crazy guy.
Andy Dwyer,"Hey, this is my dear friend, Mark Brendanawicz."
Andy Dwyer,We're good to go.
Andy Dwyer,"Okay, I'm older than that."
Andy Dwyer,"Mark! Brendanawicz, hey. What's 25 divided by 2 plus 7?"
Andy Dwyer,"Wait, how old are you?"
Andy Dwyer,Yeah? Do you have a tab I could put it on?
Andy Dwyer,I thought that was the tops of carrots.
Andy Dwyer,And howâ¦
Andy Dwyer,"Leslie, wait here."
Andy Dwyer,There's weed down there?
Andy Dwyer,Whew.
Andy Dwyer,"Oh, don't look at me."
Andy Dwyer,"Fruits and vegetables, so I'm getting a lot of vitamins"
Andy Dwyer,Somebody just planted a garden down there.
Andy Dwyer,It's awesome.
Andy Dwyer,"For now, yeah."
Andy Dwyer,What happened?
Andy Dwyer,"Yeah, okay. Hey, can I buy you a drink?"
Andy Dwyer,It's so good to see you.
Andy Dwyer,What are you doing here?
Andy Dwyer,I don't even know what a bureaucrat is.
Andy Dwyer,"Oh, hey, you guys."
Andy Dwyer,A fact about me.
Andy Dwyer,I've lived in Pawnee my whole life.
Andy Dwyer,"They're gonna do it in a right, kind of legal way that empowers prostitution."
Andy Dwyer,Who's Hot Rebecca?
Andy Dwyer,"I'll flirt with you, write my name on a napkin."
Andy Dwyer,Tip money and stuff.
Andy Dwyer,"Then-- maybe that's all you see, but at least you can give me extra money."
Andy Dwyer,"Hey, maybe I'm only sexy."
Andy Dwyer,"We need to start teaching women football, teaching women U.F.C. , teaching them to drive trucks without crashing."
Andy Dwyer,"No, I don't think we can accept donations over 50 dollars."
Andy Dwyer,And my computer.
Andy Dwyer,"Oh, crap, I forgot my books."
Andy Dwyer,"Oh, duh! Yeah, you guys totally slept together."
Andy Dwyer,That is a fact.
Andy Dwyer,Ah.
Andy Dwyer,All right.
Andy Dwyer,Give me another one.
Andy Dwyer,You do one.
Andy Dwyer,What do you mean the squirrel took the nuts out of the... Out of that kid's backpack and ate them?
Andy Dwyer,"Oh, oh, oh! Yeah! Yeah, yeah, yeah."
Andy Dwyer,This case just got interesting.
Andy Dwyer,As ready as I'll ever be.
Andy Dwyer,I won't.
Andy Dwyer,Okay.
Andy Dwyer,Not a question.
Andy Dwyer,Yeah.
Andy Dwyer,How was that? That wasn't good?
Andy Dwyer,You got your camera ready?
Andy Dwyer,And here we go.
Andy Dwyer,Wow!
Andy Dwyer,School.
Andy Dwyer,"Hi, my name is Andy Dwyer, and I would be a perfect contestant for Deal or No Deal."
Andy Dwyer,No.
Andy Dwyer,Let's do it!
Andy Dwyer,It is!
Andy Dwyer,You're so good at reminding me where pizza is.
Andy Dwyer,You came back to my voice.
Andy Dwyer,"Thanks, babe."
Andy Dwyer,Right.
Andy Dwyer,Gases fill the volume of whatever container they're in.
Andy Dwyer,"But, babe, pizza."
Andy Dwyer,"No, April, we would all die."
Andy Dwyer,Okay.
Andy Dwyer,"Anyways, what do you say I take you over to the ball pit, and we find your cell phone I lost?"
Andy Dwyer,They never tell you when you go solo that it's just gonna be you up there.
Andy Dwyer,I guess I just kind of miss having people up onstage with me.
Andy Dwyer,She's married to me.
Andy Dwyer,"Well, that's why I do what I do."
Andy Dwyer,I gave a kid pee pants?
Andy Dwyer,What?
Andy Dwyer,"Yeah, see you."
Andy Dwyer,"That was how I saw it, but--"
Andy Dwyer,"I end up beating the computer finally, and then the band just sort of drifts apart."
Andy Dwyer,Super cool to hear Sister Christian that many times in a row.
Andy Dwyer,Now is the moment we've all been waiting for.
Andy Dwyer,"This next band agreed to reunite for one night only, and it's gonna be great."
Andy Dwyer,I personally hope that they play Summer Sun.
Andy Dwyer,"That sounds like an amazing day, right?"
Andy Dwyer,"Uh, we are burning this awful pantsuit."
Andy Dwyer,I wanted to bone her right there in that dirty church basement.
Andy Dwyer,"So smart, so hot, so mean."
Andy Dwyer,She was awesome.
Andy Dwyer,"Yeah, you should have seen her, Leslie."
Andy Dwyer,Somebody forgot to pay the cable bill.
Andy Dwyer,Uhoh.
Andy Dwyer,"Okay, well, thanks."
Andy Dwyer,"Ladies and gentlemen, Mr. Duke Silver!"
Andy Dwyer,"Bye, Ethel!"
Andy Dwyer,I'd get really good at chess.
Andy Dwyer,"""Remind Tom Ask Something."""
Andy Dwyer,"You got it, boss."
Andy Dwyer,And we're gonna close tonight out with a tribute to Pawnee's greatest treasure.
Andy Dwyer,"I love this town so much, and I'm just so proud to live here."
Andy Dwyer,"Well, how about this Unity concert, huh, Pawnee?"
Andy Dwyer,"No, I mean, I love that I'm Johnny Karate now, but being part of a band, that's just-- that's rock and roll, man."
Andy Dwyer,"Without any further ado, land ho!"
Andy Dwyer,Okay.
Andy Dwyer,"Oh, yeah, good point."
Andy Dwyer,A different ambulance than the one I ran into.
Andy Dwyer,Summer sun summer sun
Andy Dwyer,"We all know how it goes, right?"
Andy Dwyer,"Up in horsey heaven, here's the thing You trade your legs for angel's wings and once we've all said goodbye you take a running leap, and you learn to fly bye bye, Li'l Sebastian I miss you in the saddest fashion Whoo!"
Andy Dwyer,And then I'd go to the hospital.
Andy Dwyer,"Crowd starts chanting my name, and I give 'em the thumbsup."
Andy Dwyer,"And then in the first game, of course, I'd break my leg."
Andy Dwyer,Beat it.
Andy Dwyer,I recently invested in some shirts I got at a garage sale.
Andy Dwyer,This is Ron Swanson we're talking about.
Andy Dwyer,We like to dabble.
Andy Dwyer,"Honey, I am so sorry."
Andy Dwyer,Imaginary friends are cool imaginary friends take the fall for you
Andy Dwyer,I'm Johnny Karate.
Andy Dwyer,Hello.
Andy Dwyer,What?
Andy Dwyer,What?
Andy Dwyer,Do you have a key in your shoe?
Andy Dwyer,Come on.
Andy Dwyer,"You got it, babe."
Andy Dwyer,And I always liked you.
Andy Dwyer,That was neat.
Andy Dwyer,Yeah! My wife is pregnant!
Andy Dwyer,"Well, hey."
Andy Dwyer,You want those shoes shined?
Andy Dwyer,"Whoa, Mark."
Andy Dwyer,"Oh, buddy, you came back."
Andy Dwyer,I've been hearing a lot of people say that a lot about a lot of stuff.
Andy Dwyer,We are all finished.
Andy Dwyer,No sweat.
Andy Dwyer,It is definitely due to the economy.
Andy Dwyer,Okay.
Andy Dwyer,Am I right?
Andy Dwyer,Left those at Wendy's on the way home.
Andy Dwyer,"It's only 5 bucks, and I'll let you cut in front of this guy."
Andy Dwyer,"I always figured we'd you know, whatever break up 'cause I got drafted by the Colts."
Andy Dwyer,Not for long.
Andy Dwyer,"Yeah, I do know."
Andy Dwyer,I think you can do this just being yourself.
Andy Dwyer,I'll give you a discount because you're a friend of Ann's.
Andy Dwyer,"Good to see you, bud."
Andy Dwyer,"Whoa, hey, Jack."
Andy Dwyer,Plus you're the smartest person on the planet.
Andy Dwyer,"You, my friend, are ready to go dancing."
Andy Dwyer,"Thank you, sir."
Andy Dwyer,"How you doing, man?"
Andy Dwyer,So The economy.
Andy Dwyer,"Oh, hey, burly."
Andy Dwyer,Remember karate on bad guys only.
Andy Dwyer,"All right, thanks, guys."
Andy Dwyer,Everybody go crazy!
Andy Dwyer,Thank you!
Andy Dwyer,Next?
Andy Dwyer,"Look, you look amazing in this outfit."
Andy Dwyer,I guess I must have screwed up.
Andy Dwyer,Yeah.
Andy Dwyer,Hey.
Andy Dwyer,"Ron, how about you?"
Andy Dwyer,Need a little dog waxing?
Andy Dwyer,All right.
Andy Dwyer,Next?
Andy Dwyer,My assistant has something she'd like to show you.
Andy Dwyer,The teeny one?
Andy Dwyer,"Hello, Wall Street."
Andy Dwyer,I get my own office phone.
Andy Dwyer,Double computers?
Andy Dwyer,"Oh, wow!"
