Character,Line
Leslie Knope,"These people are members of a community that care about where they live, so what I hear when I'm being yelled at is people caring loudly at me."
Leslie Knope,"Thank you so much, Barry."
Leslie Knope,Always great to have you here.
Leslie Knope,Anyone else who would like to contribute?
Leslie Knope,Excellent.
Leslie Knope,That sounds like a good idea.
Leslie Knope,Tell us about that.
Leslie Knope,Oh.
Leslie Knope,"Twelve months, yes."
Leslie Knope,Go on.
Leslie Knope,Okay.
Leslie Knope,I'll do something about it.
Leslie Knope,"Yes, we-- I will help you."
Leslie Knope,It's more than a promise.
Leslie Knope,It's a pinky promise.
Leslie Knope,"I pinky promise all of you that I will help, and I will go to that location tomorrow, and we will fill in that pit, and then when that's done, we're gonna put a park on the land."
Leslie Knope,"Well, I've worked at the Parks Department for six years, and I've handled a lot of things that I'm proud of."
Leslie Knope,"Recently, I led a city-wide drive to disinfect the sandbox sand after we had those problems with the cats."
Leslie Knope,"But this pit, the chance to build a whole new park from scratch, this could be my Hoover Dam."
Leslie Knope,Morning.
Leslie Knope,You were talking to the mayor?
Leslie Knope,Tom and I work really well together.
Leslie Knope,We're both outsiders.
Leslie Knope,"I'm a woman, he's a... I think he's a Libyan."
Leslie Knope,"Okay, brainstorm."
Leslie Knope,How do we make this park happen?
Leslie Knope,"No, parks are not a priority."
Leslie Knope,I need more firepower.
Leslie Knope,I need bigger guns.
Leslie Knope,You know what I need to do?
Leslie Knope,Form a committee.
Leslie Knope,Right?
Leslie Knope,"Yeah, 'cause committees are power, and committees make things happen."
Leslie Knope,Committees are the lifeblood of our democratic system.
Leslie Knope,That's really good.
Leslie Knope,Write that down.
Leslie Knope,"From time to time, when I think of an eloquent saying or a phrase, I have Tom write it down."
Leslie Knope,He's collecting them for my memoirs.
Leslie Knope,"Okay, read it back to me."
Leslie Knope,Hmm.
Leslie Knope,Sounded better when I said it.
Leslie Knope,"It's still good, though."
Leslie Knope,"Okay, I have an idea."
Leslie Knope,What about bringing Mark on board?
Leslie Knope,Which Mark?
Leslie Knope,Mark Brendanawicz.
Leslie Knope,Which Mark?
Leslie Knope,"Well, if you want something done in this town, you call Mark Brendanawicz because, you know, he's a city planner, but he's more than that."
Leslie Knope,He's kind of like a fixer.
Leslie Knope,He fixes things.
Leslie Knope,"He's a smart, capable guy."
Leslie Knope,He just-- He knows where the bodies are buried.
Leslie Knope,"What's up, Brendanawicz?"
Leslie Knope,You crazy old Polish person.
Leslie Knope,"City Hall is like a locker room, and you gotta get in there, and you gotta snap towels at people, and you gotta give them the business, and if you can't take it, you know, you... Then you can't take it."
Leslie Knope,You gotta leave the locker room.
Leslie Knope,Let's get down to brass tacks.
Leslie Knope,I know you don't have a lot of time and I want to thank you for meeting me today.
Leslie Knope,"Well, thank you for clearing your schedule."
Leslie Knope,"You know this lot that I'm talking about, right?"
Leslie Knope,What would you say if I told you that I was thinking about turning it into a park?
Leslie Knope,What?
Leslie Knope,Why?
Leslie Knope,Really?
Leslie Knope,It sounds like you're telling me to go for it.
Leslie Knope,I can do this.
Leslie Knope,I just need a little help.
Leslie Knope,"Could you do me a favor, for old times' sake?"
Leslie Knope,Mark and I-- It's complicated.
Leslie Knope,"When you work closely with someone and you share similar interests and you have a similar world view and you're passionate about the same things, things can happen."
Leslie Knope,We slept together.
Leslie Knope,It's Ms. Perkins' house.
Leslie Knope,I'm here.
Leslie Knope,Safety.
Leslie Knope,You remember Tom from last night.
Leslie Knope,"And this is our college intern, April."
Leslie Knope,She's going to be documenting our fact finding mission.
Leslie Knope,This must be our hero.
Leslie Knope,The man heard 'round the world.
Leslie Knope,"How you doing, son?"
Leslie Knope,I'm Leslie Knope.
Leslie Knope,And the entire government of Pawnee would like to let you know that we will do everything we can to help you.
Leslie Knope,Of course.
Leslie Knope,"Oh, my God."
Leslie Knope,How did we let this happen?
Leslie Knope,"Dream with me for a second, Ann."
Leslie Knope,Doesn't this neighborhood deserve a first-class park?
Leslie Knope,"Imagine a shiny new playground with a jungle gym and swings, pool, tennis courts, volleyball courts, racquetball courts, basketball court, regulation football field."
Leslie Knope,We could put an amphitheatre over there with Shakespeare in the Park.
Leslie Knope,We could do some of those things.
Leslie Knope,It's gonna take a little extra work.
Leslie Knope,But why not try?
Leslie Knope,"Me, too."
Leslie Knope,I'm going in.
Leslie Knope,Don't worry.
Leslie Knope,I have a hard hat on.
Leslie Knope,Yeah.
Leslie Knope,"April, document this."
Leslie Knope,"The key to any factfinding mission is to get right into the battle zone, you know?"
Leslie Knope,It's like George Bush when he flew over New Orleans or Richard Nixon when he went to China to see what the Chinese were up to.
Leslie Knope,No!
Leslie Knope,No.
Leslie Knope,Mmmmmm.
Leslie Knope,I'm fine.
Leslie Knope,Good thing I was wearing that hard hat.
Leslie Knope,After my head hit that rod.
Leslie Knope,"Well, at least my boss will listen to me now that I broke my clavicle."
Leslie Knope,It is.
Leslie Knope,Do you have one of those neck foam collar brace things?
Leslie Knope,"Honestly, my clavicle's broken."
Leslie Knope,Ooh!
Leslie Knope,Are pancakes being made?
Leslie Knope,Thank you.
Leslie Knope,"Ron, please."
Leslie Knope,"Come on, Ron."
Leslie Knope,I've been a loyal foot soldier.
Leslie Knope,Give me my shot.
Leslie Knope,Let me have Lot 48.
Leslie Knope,"Ron, I don't know how to explain this to you."
Leslie Knope,When you've been down in the pit-- Have you been in the pit?
Leslie Knope,"Well, I have."
Leslie Knope,When I visited the bottom of the pit on a fact finding mission.
Leslie Knope,"And when you're down there, you get some perspective about what it all means."
Leslie Knope,"And let me tell you something, Ron."
Leslie Knope,What it means is I want this subcommittee.
Leslie Knope,I like the sound of that definitely.
Leslie Knope,I'm gonna leave before you change your mind.
Leslie Knope,"Mr. Swanson, I presume."
Leslie Knope,Lot 46 thoughts? Yes? No? Me? Park?
Leslie Knope,Giving the park to me?
Leslie Knope,"All right, you guys."
Leslie Knope,"All right, all right."
Leslie Knope,I'll ask him.
Leslie Knope,Everybody wants to know what your decision is.
Leslie Knope,Someone on the phone about the park.
Leslie Knope,"You know, I don't think I even want it."
Leslie Knope,Oh man.
Leslie Knope,My clavicle's still really hurting me.
Leslie Knope,"So this was built in 1935, it's called Pioneer Hall. And a little trivia, it is one of the first structures in America to ever have locks."
Leslie Knope,"Oh, yeah."
Leslie Knope,This is our crown jewel.
Leslie Knope,It's one of our best murals.
Leslie Knope,It depicts the very famous battle at Conega Creek.
Leslie Knope,"We have a lot of children visit, so often we have to cover up the more gruesome parts with a poster."
Leslie Knope,"Yes, it is."
Leslie Knope,"So, what do you want to see? The DMV? Animal control? Or we could--"
Leslie Knope,That's great!
Leslie Knope,That's so exciting! This is huge.
Leslie Knope,"I'm barely 34, and I've already landed a Parks Department exploratory subcommittee."
Leslie Knope,I'm a rocket ship.
Leslie Knope,Hey.
Leslie Knope,Isn't it great?
Leslie Knope,Thank you.
Leslie Knope,I'm so excited.
Leslie Knope,"It's exciting, isn't it?"
Leslie Knope,Yeah.
Leslie Knope,"Should I call a press conference now, or--"
Leslie Knope,You know what?
Leslie Knope,America is awesome.
Leslie Knope,It's so full of hope and small towns and big cities and real people and delicious beverages and hot guys.
Leslie Knope,You just never know when opportunity is gonna strike.
Leslie Knope,You gotta be ready for it.
Leslie Knope,Are you excited?
Leslie Knope,Yeah!
Leslie Knope,"Soul sista, soul sista Gonna get your phone, sista"
Leslie Knope,Sweet Lady Marmalard
Leslie Knope,Why?
Leslie Knope,I think it's a real shame when people focus on the tawdry details of a scandal.
Leslie Knope,"Personally, all I care about is Councilman Dexhart's policies."
Leslie Knope,Not whether he was high on nitrous and cocaine during the cave sex.
Leslie Knope,"Which, by the way, I heard he was."
Leslie Knope,"Hey, guys."
Leslie Knope,What are you guys doing?
Leslie Knope,"Tomorrow, will be our first official... First date."
Leslie Knope,Copy.
Leslie Knope,Over and out.
Leslie Knope,Dave and I are going on our first date tomorrow.
Leslie Knope,I'm not nervous.
Leslie Knope,Why should I be nervous?
Leslie Knope,We're just two people going on a first date.
Leslie Knope,There's nothing to be nervous about.
Leslie Knope,That was my phone.
Leslie Knope,Yeah.
Leslie Knope,"Hey, listen, I'm really nervous about this date tomorrow night."
Leslie Knope,"Do you have, like, a first date outfit I can borrow?"
Leslie Knope,"Like, I don't know, a pair of cargo pants?"
Leslie Knope,"What about, like, a sexy hat?"
Leslie Knope,Helping already.
Leslie Knope,Sure.
Leslie Knope,Yeah.
Leslie Knope,Tonight?
Leslie Knope,Several hours from now?
Leslie Knope,I think that would be better.
Leslie Knope,"Yeah, that would give us more time."
Leslie Knope,Let's go.
Leslie Knope,Tada!
Leslie Knope,Yeah?
Leslie Knope,"I think I will, good lady."
Leslie Knope,"Hey, while I have you, can I ask you a question?"
Leslie Knope,What if he asks me if I've been married?
Leslie Knope,No.
Leslie Knope,But then he'll wonder why I haven't been married.
Leslie Knope,You know what I'm gonna do?
Leslie Knope,I'm gonna say that I was married.
Leslie Knope,"The real question is, should I say that I have kids?"
Leslie Knope,"Guys like girls that have kids, right?"
Leslie Knope,What if I get drunk and I talk about Darfur too much?
Leslie Knope,Or not enough?
Leslie Knope,What if I don't bring up Darfur enough?
Leslie Knope,Yeah.
Leslie Knope,"I just have a few more questions for you, Ann."
Leslie Knope,What if he shows up with another woman?
Leslie Knope,What if one of my sleeves catches on fire and it spreads rapidly?
Leslie Knope,"What if instead of Tic Tacs, I accidentally pop a couple of Ambien and I have to keep punching my leg to stay awake?"
Leslie Knope,They have happened.
Leslie Knope,All of these have happened to me.
Leslie Knope,"No, there's more."
Leslie Knope,"One time, I accidentally drank an entire bottle of vinegar."
Leslie Knope,I thought it was terrible wine.
Leslie Knope,Once I went out with a guy who wore 3D glasses the entire evening.
Leslie Knope,"Oh, one time I rode in a sidecar on a guy's motorcycle, and the sidecar detached and went down a flight of stairs."
Leslie Knope,"Another time, I went to a really boring movie with a guy, and while I was asleep, he tried to pull out one of my teeth."
Leslie Knope,I literally woke up with his hand in my mouth.
Leslie Knope,"We went out a couple times after that, but then he got weird."
Leslie Knope,"I know it sounds crazy, I'm a grown woman, but I am just not good on first dates."
Leslie Knope,I know what you're thinking.
Leslie Knope,"I wear an earpiece, you sit at a table nearby, you speak into a mic, you tell me what to say on the date."
Leslie Knope,"But let me tell you something, Ann, it never works."
Leslie Knope,That's a way better idea.
Leslie Knope,"Hey, Dave, it's me."
Leslie Knope,It's Leslie.
Leslie Knope,Hi!
Leslie Knope,"So, Dave."
Leslie Knope,Let's begin our conversation.
Leslie Knope,They're possible topics of conversation.
Leslie Knope,"Yeah, well, I couldn't think of anything else."
Leslie Knope,"Oh, Dave You!"
Leslie Knope,"The Danish call it ""op og ned apparat,"" which literally translated means the ""up and down machine."""
Leslie Knope,Now I'm gonna talk about the local flora and fauna found in Pawnee.
Leslie Knope,What's amazing--
Leslie Knope,Okay.
Leslie Knope,I can't think of anything to ask you.
Leslie Knope,I'm sorry.
Leslie Knope,My mind is blank.
Leslie Knope,How big is it?
Leslie Knope,"Oh, my God."
Leslie Knope,"Hi, Dave."
Leslie Knope,What?
Leslie Knope,No.
Leslie Knope,Really?
Leslie Knope,Okay.
Leslie Knope,"Well, I was dropping my niece off."
Leslie Knope,Torple.
Leslie Knope,What?
Leslie Knope,I don't know.
Leslie Knope,That's not a name.
Leslie Knope,I don't have a niece.
Leslie Knope,My niece's name is Stephanie.
Leslie Knope,"Hey, look."
Leslie Knope,There's bread.
Leslie Knope,You want some?
Leslie Knope,"Oh, no!"
Leslie Knope,I got flowers in your soup.
Leslie Knope,I'm so sorry.
Leslie Knope,Just I have to go to the whiz palace.
Leslie Knope,"You know, Dave, the place where you... You know, the toilet thing."
Leslie Knope,It's a bathroom!
Leslie Knope,It's called a bathroom!
Leslie Knope,"Why would you say that, Dave?"
Leslie Knope,"That dog was, like, my best friend."
Leslie Knope,"And when she died, it was one of--"
Leslie Knope,"No, Dave."
Leslie Knope,'Cause you're disgusting.
Leslie Knope,I don't understand why you're being so terrible.
Leslie Knope,We're just two people trying to go on a date.
Leslie Knope,It's supposed to be fun.
Leslie Knope,It's just a date.
Leslie Knope,"Well, well, well."
Leslie Knope,You coy bastard.
Leslie Knope,Ann is so awesome.
Leslie Knope,I'm lucky to have a friend who would spend a whole day being so mean to me.
Leslie Knope,Catch.
Leslie Knope,"I don't need your dress anymore, I'm gonna wear my own stuff."
Leslie Knope,Me power.
Leslie Knope,Good.
Leslie Knope,"Thank you, Dave."
Leslie Knope,"No, he's not."
Leslie Knope,Yeah.
Leslie Knope,Yeah.
Leslie Knope,"Hell, yeah."
Leslie Knope,Yeah.
Leslie Knope,Yeah.
Leslie Knope,I am awesome.
Leslie Knope,"Yeah, and you are, too."
Leslie Knope,"You are, too."
Leslie Knope,"You are, too, Ann."
Leslie Knope,You're awesome.
Leslie Knope,"Help, police!"
Leslie Knope,Help!
Leslie Knope,Help!
Leslie Knope,"Look, I know today is today, and it's not tomorrow, but I felt like you should know that I'm awesome, and you're lucky to have me."
Leslie Knope,"And I think our first date tomorrow is gonna go awesome, off the charts amazing."
Leslie Knope,Up top.
Leslie Knope,"All right, let's do this bitch!"
Leslie Knope,I'm not scared.
Leslie Knope,Can I come and sit down for a little bit?
Leslie Knope,"Cause I walked here, 'cause... The drinking."
Leslie Knope,I do know.
Leslie Knope,I'm coming inside.
Leslie Knope,"So, move, okay?"
Leslie Knope,You make a better door than a guy.
Leslie Knope,Ann was helping me because I was panicking about tomorrow.
Leslie Knope,"No, no."
Leslie Knope,Just the whole idea of first dates just kind of freak me out.
Leslie Knope,But not anymore.
Leslie Knope,I can't even believe that I was scared to go on a date with you.
Leslie Knope,"I mean, you should be scared of me."
Leslie Knope,I think I need to return this sweater.
Leslie Knope,I think it fused with my shirt in the dryer or something.
Leslie Knope,I think it's going pretty well with Dave.
Leslie Knope,He wants me.
Leslie Knope,I can totally tell that he wants me.
Leslie Knope,Did you see my bra?
Leslie Knope,Mmm?
Leslie Knope,"Bee, boop."
Leslie Knope,"Guess what? I'm wearing the hot one tomorrow, the black one."
Leslie Knope,Can I use your bathroom?
Leslie Knope,Are you impressed that I know what it's called?
Leslie Knope,Good.
Leslie Knope,"Well, in London, they call elevators ""lifts."""
Leslie Knope,"So, you're gonna give me an elevator home?"
Leslie Knope,"No, thank you."
Leslie Knope,Okay.
Leslie Knope,Let's go down to the pub.
Leslie Knope,To the pub.
Leslie Knope,get a pint.
Leslie Knope,We'll put our knickers in The Beatles records.
Leslie Knope,This is an English accent.
Leslie Knope,No.
Leslie Knope,I'm not.
Leslie Knope,Should I have?
Leslie Knope,God.
Leslie Knope,Hey.
Leslie Knope,I am so sorry for what happened last night.
Leslie Knope,"On my list of embarrassing things that I've done in my life, that was numbers one through seven."
Leslie Knope,I totally understand if you wanna cancel.
Leslie Knope,Second?
Leslie Knope,8 o' clock.
Leslie Knope,Yeah!
Leslie Knope,Then we don't have to go.
Leslie Knope,"Well, we went on our first date, and I didn't even know it. A.K.A, I nailed it."
Leslie Knope,"No fires, no ambulances, just good old-fashioned showing up drunk at a guy's house late at night."
Leslie Knope,"Hello, I am Leslie Knope, and I am here to interview for the Deputy Parks Director job."
Leslie Knope,"Well, I should have to interview just like everyone else."
Leslie Knope,"Now, if you'll see on my resume, I held the position of deputy director of parks and recreation for almost ten years."
Leslie Knope,"Come on, Ron."
Leslie Knope,Just interview me.
Leslie Knope,No special treatment.
Leslie Knope,"The ancient Greek version of the park was the agora, a gathering place where people from all walks of life"
Leslie Knope,What are you writing?
Leslie Knope,Is it good?
Leslie Knope,It's right there in the name: Maintaining our beautiful parks and providing healthy outdoor recreation.
Leslie Knope,"Ha, ha, okay."
Leslie Knope,No more goofing around.
Leslie Knope,Just tell me I have the job.
Leslie Knope,"Ron, come on, it's me."
Leslie Knope,Give me special treatment.
Leslie Knope,"Okay, first morning meeting back in the old conference room."
Leslie Knope,What's this?
Leslie Knope,You guys think I'm a border collie?
Leslie Knope,So obviously a cocker spaniel.
Leslie Knope,Totally.
Leslie Knope,I'm in on the joke.
Leslie Knope,"I get it, but maybe we should stop talking about your insane dog choices and get to working."
Leslie Knope,Totally.
Leslie Knope,What?
Leslie Knope,No.
Leslie Knope,What idea?
Leslie Knope,Wow.
Leslie Knope,"Tom, that's great."
Leslie Knope,"No, I mean, the lemonade... never mind."
Leslie Knope,"Well, I will start doing an environmental impact study, and Ron, you can do some demographic research."
Leslie Knope,Nothing I can do to help?
Leslie Knope,Okay.
Leslie Knope,Oh.
Leslie Knope,I can straighten this for you.
Leslie Knope,There we go.
Leslie Knope,I came up with a way better game.
Leslie Knope,Behold your spirit kangaroo.
Leslie Knope,"Tom, you are a blue flyer."
Leslie Knope,So am I.
Leslie Knope,So are you and Donna.
Leslie Knope,And look at Ron.
Leslie Knope,Look at Ron.
Leslie Knope,I mean Doesn't Ron look exactly like a blue flyer?
Leslie Knope,There aren't that many different types of kangaroos.
Leslie Knope,"Either way, hell of a game, right, guys?"
Leslie Knope,"Presentations are upon us, so, Tom, which step are you at in The Leslie Knope Project Preparedness Super System?"
Leslie Knope,What?
Leslie Knope,"Tom, no, you cannot drop The Leslie Knope Project Preparedness Super System."
Leslie Knope,It was developed over thousands of government presentations that I gave over the past ten years.
Leslie Knope,It is my very soul.
Leslie Knope,That's your plan?
Leslie Knope,To-- to rip it?
Leslie Knope,"Sure, yeah, you should probably just rip it."
Leslie Knope,"I think that's better than going with a tried and true 80 step system that led to and I quote ""The most thorough and, dare we say, at times, overprepared presentation that we've seen."""
Leslie Knope,"And yeah, that quote came from the Indiana blue ribbon panel on irrigation and drainage."
Leslie Knope,Big kangaroo.
Leslie Knope,And thank you.
Leslie Knope,"Well, yeah, I was gone for a while and things are a little different around here, but this is still my house."
Leslie Knope,"I invented this parks game, son."
Leslie Knope,Oh.
Leslie Knope,Damn it!
Leslie Knope,When did they put a lamp here?
Leslie Knope,"Hey, Tom, I don't mean to bug you or anything, but I notice that my super system binder is closed."
Leslie Knope,Just checking that you had a chance to refamiliarize yourself entirely.
Leslie Knope,Huh.
Leslie Knope,You're lying.
Leslie Knope,"I placed a single strand of hair along the edge, and that secret strand is unbroken."
Leslie Knope,"Look, it seems like you don't even care about your presentation."
Leslie Knope,Content.
Leslie Knope,Okay.
Leslie Knope,"Tom, you need hard data."
Leslie Knope,You need facts to make your case.
Leslie Knope,And then you need two funny quotes and an inspirational one.
Leslie Knope,"You know, a classic ha ha hmm."
Leslie Knope,"Okay, fine, I trust you."
Leslie Knope,"But I think you're gonna fail, and you're a ticking time bomb."
Leslie Knope,"Nothing, good luck."
Leslie Knope,Yes.
Leslie Knope,It's the most effective hair for binder security.
Leslie Knope,"You know that, Ron."
Leslie Knope,"If Tom gives that presentation, it is going to be a total disaster for both him and the department."
Leslie Knope,I cannot sit idly by and watch this terrible thing happen.
Leslie Knope,"I mean, I can barely sit idly by and watch good things happen."
Leslie Knope,"Now, Stu, I know that you're thinking about retiring, and I am here to ask you to reconsider."
Leslie Knope,What do you say?
Leslie Knope,"Keep that Lafayette Park stand open, pumpin' out the stew like you do."
Leslie Knope,"Stu, you have been a staple in the parks department system for years."
Leslie Knope,Retirement is for the birds.
Leslie Knope,You're gonna be so bored.
Leslie Knope,I'm gonna say this because you need to hear it.
Leslie Knope,Screw bisque.
Leslie Knope,Yeah.
Leslie Knope,"Well, we're gonna need to convince the business council to keep you around, but that's not for you to worry about."
Leslie Knope,I'll take care of it.
Leslie Knope,You just keep on stewin' what you stew.
Leslie Knope,To stew.
Leslie Knope,"Oh, my God."
Leslie Knope,That's very hot.
Leslie Knope,"Great news, guys."
Leslie Knope,I just saved your bacon.
Leslie Knope,"I know you were excited to get in front of the committee and rip it, but in the spirit of teamwork, I unilaterally decided to bring Stu out of retirement."
Leslie Knope,So pressure's off.
Leslie Knope,"Doin' what, putting mousse in your hair?"
Leslie Knope,"No, I use the juicy space thing-- whatever you do."
Leslie Knope,"The point is you weren't ready for this, Tom."
Leslie Knope,"I'm still doing my stew presentation, and we'll see which one the committee likes."
Leslie Knope,Fine.
Leslie Knope,"Look, I love Tom, but you and I both know that he's not ready to step up."
Leslie Knope,Don't you remember his last presentation on topsoil?
Leslie Knope,The botched laser show?
Leslie Knope,Larry still can't see purple.
Leslie Knope,"I know, but still, Tom is all flash and no substance."
Leslie Knope,"Well, frankly, it's because of Stu."
Leslie Knope,"Here's a man who was ready to retire, spend time with his family, travel."
Leslie Knope,"And then he realized, ""No, I wanna spend my time in a small metal box all summer, bent over a boiling cauldron of steaming, bubbling meat."""
Leslie Knope,"Making stew is hard: Up at the crack of dawn, backbreaking labor, your clothes smelling like salt and gristle."
Leslie Knope,"Sure, profits are minimal, but Stu doesn't care about that."
Leslie Knope,Maybe a year extension isn't enough.
Leslie Knope,Maybe we should make it five years.
Leslie Knope,"Heck, why don't we give him a lifetime deal?"
Leslie Knope,I'd like to see Stu ladling out his pungent beef smoothies until we bury him under that shed.
Leslie Knope,Hey.
Leslie Knope,Rip it.
Leslie Knope,Oh.
Leslie Knope,Okay.
Leslie Knope,"Well, Ron, you were right."
Leslie Knope,Tom has really grown up.
Leslie Knope,"Well, Tom's come into his own."
Leslie Knope,April runs Animal Control.
Leslie Knope,"I mean, does this department even need me anymore?"
Leslie Knope,Was that a death threat?
Leslie Knope,"Oh, that reminds me."
Leslie Knope,"I know you don't open your mail, but I do."
Leslie Knope,"And because you created Tom's position-- business liaison-- and it's already financially paying off, you have received Pawnee's government employee of the month."
Leslie Knope,"I mean, it has taken--"
Leslie Knope,"Thank you very much, Mr. City Manager."
Leslie Knope,And I have to say that the way that you're rockin' those slacks is quite impressive as well.
Leslie Knope,"I am back at the parks department, and Ben is city manager, but we're married, so it's kosher."
Leslie Knope,And awesome.
Leslie Knope,We live together
Leslie Knope,And we are so In sync
Leslie Knope,Sentences!
Leslie Knope,We rehearsed that at home.
Leslie Knope,Naked in bed.
Leslie Knope,What!
Leslie Knope,"Oh, my God, that's great news, 'cause I'm in love with you too."
Leslie Knope,What?
Leslie Knope,"Okay, let's not let Ron feel left out."
Leslie Knope,"We love you too, Ron."
Leslie Knope,Group hug!
Leslie Knope,Wow.
Leslie Knope,I think our love made him angry.
Leslie Knope,Really?
Leslie Knope,Opening this farmers market was one of my greatest achievements as city councilor.
Leslie Knope,"It's good for the economy, it's good for families, and it's good for promoting a healthy lifestyle, which Pawnee desperately needs."
Leslie Knope,"Hey, Connie Cabbage."
Leslie Knope,What's good today?
Leslie Knope,What the hell is going on?
Leslie Knope,"Ben, do something."
Leslie Knope,"Well, you're the city manager."
Leslie Knope,Kick them out.
Leslie Knope,They're violating every single one of the farmers market's rules of conduct.
Leslie Knope,"Yes, and ""In case of fire, romaine calm,"" and ""You won't bay leaf how nice olive our vendors are."""
Leslie Knope,"I don't like vegetables, but I'm very good at vegetable puns."
Leslie Knope,A little iffy?
Leslie Knope,"Connie, no."
Leslie Knope,Put those away.
Leslie Knope,"Before we do that, I was thinking more about that chard guy."
Leslie Knope,"I mean, it would be very easy for you to revoke their license."
Leslie Knope,The reason is it's vegetable porn.
Leslie Knope,Porn on the cob.
Leslie Knope,I'm sorry.
Leslie Knope,I'm just very good at that.
Leslie Knope,"Look, I am not a prude, but the point is, people shouldn't be half naked, you know, in public, in the middle of the day, in front of children."
Leslie Knope,There's your reason.
Leslie Knope,Kick them out.
Leslie Knope,Yeah.
Leslie Knope,"Yeah, okay."
Leslie Knope,That's smart.
Leslie Knope,"Home is home, and work is work."
Leslie Knope,We can always talk about this tomorrow at the office.
Leslie Knope,"Mmhmm, yeah, uh-huh."
Leslie Knope,"Okay, so I found a legal precedent to shut down those vegetable smut peddlers."
Leslie Knope,"Firewall, man."
Leslie Knope,"We pulled into the parking lot, and this is technically city hall property, so now we're at work let's do this."
Leslie Knope,"The farmers market is a community meeting place, and that pansexual stripper show basically negates the whole purpose."
Leslie Knope,"So if you're looking for a reason to kick them out, here's 158."
Leslie Knope,The new farmers market rule book.
Leslie Knope,I stayed up all night.
Leslie Knope,I also made these: Leslie's toffee surprise.
Leslie Knope,The surprise is there's toffee in the inside.
Leslie Knope,You can eat those once you revoke the chard vendor's license.
Leslie Knope,"Good day, colleague."
Leslie Knope,"Hey, did you get a chance to sign off on that booklet I gave you?"
Leslie Knope,What?
Leslie Knope,How?
Leslie Knope,Those apply to all vendors.
Leslie Knope,"Either way, it's too late."
Leslie Knope,The train has left the station.
Leslie Knope,"Yes, Nolan, under the auspices of the office of city manager, et cetera, et cetera, it's not important, you are in violation of many rules, and therefore you cannot sell your goods anymore at the Pawnee farmers market."
Leslie Knope,"Ben, back me up on this without hesitation."
Leslie Knope,I like to think of it as celery with B.O.
Leslie Knope,"But if it's so gross, you should just sell something else."
Leslie Knope,Judas!
Leslie Knope,No.
Leslie Knope,I know what you're trying to do.
Leslie Knope,"If we go home, the firewall is up, and then you don't have to deal with me anymore."
Leslie Knope,"Instead, fellow employee, I will meet you in the basement conference room at 6:00 P.M."
Leslie Knope,And we will solve this chard issue once and for all.
Leslie Knope,Don't forget your approval pen.
Leslie Knope,"Yes, there is."
Leslie Knope,I made it for you last night.
Leslie Knope,"Okay, 6:00."
Leslie Knope,Let's do this.
Leslie Knope,Larry?
Leslie Knope,Read.
Leslie Knope,What the hell are you doing out here?
Leslie Knope,Wrong.
Leslie Knope,"All roads and bridges fall under the purview of the Pawnee department of transportation, which is located on the fourth floor of city hall."
Leslie Knope,Firewall down.
